Genome.prokka	GTDB.Taxonomy
GORG_SAMEA6071177_SAGS_AG899M14-prokka	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__SAR86;f__AG-339-G14;g__AG-339-G14;s__AG-339-G14 sp902536295
GORG_SAMEA6071198_SAGS_AG899O04-prokka	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Pelagibacterales;f__Pelagibacteraceae;g__Pelagibacter;s__
GORG_SAMEA6071327_SAGS_AG900G16-prokka	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Pelagibacterales;f__Pelagibacteraceae;g__Pelagibacter;s__Pelagibacter sp902543295
GORG_SAMEA6071330_SAGS_AG900G22-prokka	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Pelagibacterales;f__Pelagibacteraceae;g__Pelagibacter;s__Pelagibacter sp902543405
GORG_SAMEA6071336_SAGS_AG900I13-prokka	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Pelagibacterales;f__Pelagibacteraceae;g__Pelagibacter;s__Pelagibacter sp902543485
GORG_SAMEA6071341_SAGS_AG900I19-prokka	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Pelagibacterales;f__Pelagibacteraceae;g__Pelagibacter;s__Pelagibacter sp902543575
GORG_SAMEA6071364_SAGS_AG900K14-prokka	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Pelagibacterales;f__AG-422-B15;g__AG-422-B15;s__AG-422-B15 sp902544065
GORG_SAMEA6071365_SAGS_AG900K16-prokka	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__MED-G14;s__MED-G14 sp902544085
GORG_SAMEA6071368_SAGS_AG900K21-prokka	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Pelagibacterales;f__Pelagibacteraceae;g__Pelagibacter;s__Pelagibacter sp902544135
GORG_SAMEA6071391_SAGS_AG900M14-prokka	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Pelagibacterales;f__AG-422-B15;g__CACCCN01;s__CACCCN01 sp902544525
GORG_SAMEA6071441_SAGS_AG901A07-prokka	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Pelagibacterales;f__Pelagibacteraceae;g__Pelagibacter;s__Pelagibacter sp902545635
GORG_SAMEA6071497_SAGS_AG901E05-prokka	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__MS024-2A;s__MS024-2A sp902546725
GORG_SAMEA6071524_SAGS_AG901G03-prokka	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Pelagibacterales;f__AG-422-B15;g__AG-422-B15;s__AG-422-B15 sp902547315
GORG_SAMEA6071561_SAGS_AG901K05-prokka	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Pelagibacterales;f__Pelagibacteraceae;g__Pelagibacter;s__Pelagibacter sp902528575
GORG_SAMEA6071747_SAGS_AG903K07-prokka	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Pelagibacterales;f__Pelagibacteraceae;g__Pelagibacter;s__Pelagibacter sp902551755
GORG_SAMEA6071759_SAGS_AG903L07-prokka	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Pelagibacterales;f__Pelagibacteraceae;g__Pelagibacter;s__Pelagibacter sp902551985
GORG_SAMEA6071777_SAGS_AG903M21-prokka	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Pelagibacterales;f__Pelagibacteraceae;g__Pelagibacter_A;s__Pelagibacter_A sp902552345
GORG_SAMEA6071779_SAGS_AG903N02-prokka	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__MED-G14;s__
GORG_SAMEA6071874_SAGS_AG904D16-prokka	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Pelagibacterales;f__Pelagibacteraceae;g__Pelagibacter;s__
GORG_SAMEA6071895_SAGS_AG904F11-prokka	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Pelagibacterales;f__Pelagibacteraceae;g__MED727;s__MED727 sp902587145
GORG_SAMEA6071942_SAGS_AG904K03-prokka	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Pelagibacterales;f__Pelagibacteraceae;g__Pelagibacter;s__Pelagibacter sp902555585
GORG_SAMEA6071987_SAGS_AG904N09-prokka	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Pelagibacterales;f__Pelagibacteraceae;g__Pelagibacter;s__Pelagibacter sp902612575
GORG_SAMEA6072009_SAGS_AG904O22-prokka	d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__PCC-6307;f__Cyanobiaceae;g__Prochlorococcus_A;s__Prochlorococcus_A sp902612005
GORG_SAMEA6072024_SAGS_AG905A07-prokka	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Pelagibacterales;f__Pelagibacteraceae;g__Pelagibacter;s__Pelagibacter sp902557215
GORG_SAMEA6072046_SAGS_AG905B19-prokka	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Pelagibacterales;f__Pelagibacteraceae;g__Pelagibacter_A;s__Pelagibacter_A sp902557775
GORG_SAMEA6072083_SAGS_AG905E11-prokka	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Pelagibacterales;f__Pelagibacteraceae;g__Pelagibacter;s__Pelagibacter sp902558435
GORG_SAMEA6072102_SAGS_AG905G04-prokka	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Pelagibacterales;f__Pelagibacteraceae;g__Pelagibacter;s__
GORG_SAMEA6072164_SAGS_AG905M05-prokka	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Pelagibacterales;f__Pelagibacteraceae;g__Pelagibacter;s__Pelagibacter sp902560075
GORG_SAMEA6072193_SAGS_AG905O08-prokka	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Pelagibacterales;f__Pelagibacteraceae;g__Pelagibacter;s__Pelagibacter sp902597335
GORG_SAMEA6072199_SAGS_AG905O21-prokka	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__AEGEAN-169;f__GCA-002718135;g__AG-337-I02;s__AG-337-I02 sp902554185
GORG_SAMEA6072250_SAGS_AG907C09-prokka	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Pelagibacterales;f__Pelagibacteraceae;g__Pelagibacter;s__Pelagibacter sp902561765
GORG_SAMEA6072277_SAGS_AG907E04-prokka	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Pelagibacterales;f__Pelagibacteraceae;g__Pelagibacter;s__Pelagibacter sp902562205
GORG_SAMEA6072278_SAGS_AG907E05-prokka	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Porticoccaceae;g__TMED48;s__TMED48 sp902562425
GORG_SAMEA6072297_SAGS_AG907F09-prokka	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Pelagibacterales;f__Pelagibacteraceae;g__Pelagibacter;s__Pelagibacter sp902562645
GORG_SAMEA6072453_SAGS_AG908B08-prokka	d__Bacteria;p__Planctomycetota;c__Phycisphaerae;o__Phycisphaerales;f__SM1A02;g__UBA8653;s__UBA8653 sp002862275
GORG_SAMEA6072475_SAGS_AG908C18-prokka	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Pelagibacterales;f__Pelagibacteraceae;g__Pelagibacter;s__
GORG_SAMEA6072482_SAGS_AG908D05-prokka	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Pelagibacterales;f__Pelagibacteraceae;g__Pelagibacter;s__Pelagibacter sp902566315
GORG_SAMEA6072644_SAGS_AG909A17-prokka	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Pelagibacterales;f__Pelagibacteraceae;g__Pelagibacter;s__
GORG_SAMEA6072703_SAGS_AG909F14-prokka	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Pelagibacterales;f__Pelagibacteraceae;g__Pelagibacter;s__Pelagibacter sp902570695
GORG_SAMEA6072711_SAGS_AG909G08-prokka	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Pelagibacterales;f__Pelagibacteraceae;g__Pelagibacter;s__Pelagibacter sp902571015
GORG_SAMEA6072718_SAGS_AG909I04-prokka	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Pelagibacterales;f__Pelagibacteraceae;g__Pelagibacter;s__Pelagibacter sp902570915
GORG_SAMEA6072797_SAGS_AG909N22-prokka	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Pelagibacterales;f__Pelagibacteraceae;g__Pelagibacter_A;s__Pelagibacter_A sp902572605
GORG_SAMEA6072882_SAGS_AG910D13-prokka	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__AEGEAN-169;f__AEGEAN-169;g__AEGEAN-169;s__AEGEAN-169 sp019651435
GORG_SAMEA6072924_SAGS_AG910G11-prokka	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Pelagibacterales;f__Pelagibacteraceae;g__Pelagibacter_A;s__Pelagibacter_A sp902575095
GORG_SAMEA6073010_SAGS_AG910M23-prokka	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Pelagibacterales;f__Pelagibacteraceae;g__Pelagibacter;s__Pelagibacter sp902576815
GORG_SAMEA6073085_SAGS_AG911C08-prokka	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Puniceispirillales;f__GCA-002684695;g__GCA-002684695;s__
GORG_SAMEA6073106_SAGS_AG911D18-prokka	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Pelagibacterales;f__Pelagibacteraceae;g__Pelagibacter;s__Pelagibacter sp902578255
GORG_SAMEA6073133_SAGS_AG911G06-prokka	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Pelagibacterales;f__Pelagibacteraceae;g__Pelagibacter;s__Pelagibacter sp902580895
GORG_SAMEA6073138_SAGS_AG911G13-prokka	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Pelagibacterales;f__Pelagibacteraceae;g__Pelagibacter_A;s__Pelagibacter_A sp902579115
GORG_SAMEA6073161_SAGS_AG911J07-prokka	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Pelagibacterales;f__Pelagibacteraceae;g__Pelagibacter;s__
GORG_SAMEA6073169_SAGS_AG911J19-prokka	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Pelagibacterales;f__Pelagibacteraceae;g__Pelagibacter;s__Pelagibacter sp902581585
GORG_SAMEA6073184_SAGS_AG911K15-prokka	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Pelagibacterales;f__Pelagibacteraceae;g__Pelagibacter;s__Pelagibacter sp902581445
GORG_SAMEA6073197_SAGS_AG911L11-prokka	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Pelagibacterales;f__Pelagibacteraceae;g__Pelagibacter;s__
GORG_SAMEA6073201_SAGS_AG911L17-prokka	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__TMED127;f__TMED127;g__GCA-2691245;s__GCA-2691245 sp902579395
GORG_SAMEA6073219_SAGS_AG911M23-prokka	d__Bacteria;p__Actinomycetota;c__Acidimicrobiia;o__Actinomarinales;f__Actinomarinaceae;g__Actinomarina;s__Actinomarina sp902580215
GORG_SAMEA6073227_SAGS_AG911N14-prokka	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Pelagibacterales;f__Pelagibacteraceae;g__Pelagibacter;s__Pelagibacter sp902580275
GORG_SAMEA6073284_SAGS_AG912B21-prokka	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__AEGEAN-169;f__GCA-002718135;g__AG-337-I02;s__
GORG_SAMEA6073303_SAGS_AG912D10-prokka	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Pelagibacterales;f__Pelagibacteraceae;g__MED727;s__MED727 sp902582155
GORG_SAMEA6073323_SAGS_AG912F03-prokka	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__AEGEAN-169;f__GCA-002718135;g__AG-337-I02;s__AG-337-I02 sp902582755
GORG_SAMEA6073335_SAGS_AG912F23-prokka	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Pelagibacterales;f__Pelagibacteraceae;g__Pelagibacter;s__Pelagibacter sp902583455
GORG_SAMEA6073345_SAGS_AG912G22-prokka	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Pelagibacterales;f__Pelagibacteraceae;g__Pelagibacter;s__Pelagibacter sp902583075
GORG_SAMEA6073366_SAGS_AG912J06-prokka	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Pelagibacterales;f__Pelagibacteraceae;g__Pelagibacter_A;s__Pelagibacter_A sp902583585
GORG_SAMEA6073386_SAGS_AG912K10-prokka	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Pelagibacterales;f__Pelagibacteraceae;g__Pelagibacter;s__Pelagibacter sp902635975
GORG_SAMEA6073402_SAGS_AG912L11-prokka	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Pelagibacterales;f__Pelagibacteraceae;g__Pelagibacter;s__
GORG_SAMEA6073414_SAGS_AG912M06-prokka	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Pelagibacterales;f__Pelagibacteraceae;g__Pelagibacter;s__Pelagibacter sp902584995
GORG_SAMEA6073424_SAGS_AG912N10-prokka	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__AEGEAN-169;f__GCA-002718135;g__AG-337-I02;s__AG-337-I02 sp902584805
GORG_SAMEA6073459_SAGS_AG912P19-prokka	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Pelagibacterales;f__Pelagibacteraceae;g__Pelagibacter_A;s__Pelagibacter_A sp902585045
GORG_SAMEA6073479_SAGS_AG913B05-prokka	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__AEGEAN-169;f__GCA-002718135;g__AG-337-I02;s__AG-337-I02 sp902585605
GORG_SAMEA6073491_SAGS_AG913B21-prokka	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Pelagibacterales;f__Pelagibacteraceae;g__Pelagibacter;s__Pelagibacter sp902586125
GORG_SAMEA6073497_SAGS_AG913C06-prokka	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__TMED96;s__TMED96 sp902595825
GORG_SAMEA6073521_SAGS_AG913E11-prokka	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Pelagibacterales;f__Pelagibacteraceae;g__Pelagibacter;s__Pelagibacter sp902586495
GORG_SAMEA6073530_SAGS_AG913F03-prokka	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Pelagibacterales;f__Pelagibacteraceae;g__Pelagibacter;s__
GORG_SAMEA6073547_SAGS_AG913G13-prokka	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__SAR86;f__D2472;g__SAR86A;s__SAR86A sp902586925
GORG_SAMEA6073557_SAGS_AG913I06-prokka	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Pelagibacterales;f__Pelagibacteraceae;g__Pelagibacter_A;s__
GORG_SAMEA6073560_SAGS_AG913I14-prokka	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Pelagibacterales;f__Pelagibacteraceae;g__Pelagibacter_A;s__Pelagibacter_A sp902587515
GORG_SAMEA6073568_SAGS_AG913J04-prokka	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Opitutales;f__DSM-45221;g__UBA7441;s__UBA7441 sp902587165
GORG_SAMEA6073581_SAGS_AG913K07-prokka	d__Bacteria;p__Actinomycetota;c__Acidimicrobiia;o__Actinomarinales;f__Actinomarinaceae;g__Actinomarina;s__Actinomarina sp003213165
GORG_SAMEA6073584_SAGS_AG913K11-prokka	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__MED-G14;s__MED-G14 sp902587325
GORG_SAMEA6073589_SAGS_AG913K21-prokka	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Pelagibacterales;f__Pelagibacteraceae;g__Pelagibacter;s__
GORG_SAMEA6073591_SAGS_AG913L03-prokka	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Pelagibacterales;f__Pelagibacteraceae;g__Pelagibacter;s__Pelagibacter sp902587755
GORG_SAMEA6073608_SAGS_AG913M07-prokka	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__AEGEAN-169;f__GCA-002718135;g__AG-337-I02;s__AG-337-I02 sp902588745
GORG_SAMEA6073610_SAGS_AG913M13-prokka	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Pelagibacterales;f__Pelagibacteraceae;g__Pelagibacter;s__
GORG_SAMEA6073622_SAGS_AG913N09-prokka	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Pelagibacterales;f__Pelagibacteraceae;g__Pelagibacter;s__Pelagibacter sp902595815
GORG_SAMEA6073676_SAGS_AG914B14-prokka	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Pelagibacterales;f__Pelagibacteraceae;g__Pelagibacter;s__Pelagibacter sp902589725
GORG_SAMEA6073687_SAGS_AG914C06-prokka	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Pelagibacterales;f__Pelagibacteraceae;g__Pelagibacter;s__Pelagibacter sp902589315
GORG_SAMEA6073742_SAGS_AG914G02-prokka	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__UBA8316;s__UBA8316 sp902590705
GORG_SAMEA6073754_SAGS_AG914G22-prokka	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Pelagibacterales;f__Pelagibacteraceae;g__Pelagibacter;s__Pelagibacter sp902590915
GORG_SAMEA6073765_SAGS_AG914I16-prokka	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Pelagibacterales;f__Pelagibacteraceae;g__Pelagibacter_A;s__Pelagibacter_A sp902582165
GORG_SAMEA6073774_SAGS_AG914J05-prokka	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Pelagibacterales;f__Pelagibacteraceae;g__Pelagibacter_A;s__Pelagibacter_A sp902590505
GORG_SAMEA6073801_SAGS_AG914L04-prokka	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Pelagibacterales;f__Pelagibacteraceae;g__Pelagibacter;s__Pelagibacter sp902591025
GORG_SAMEA6073825_SAGS_AG914M14-prokka	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Pelagibacterales;f__Pelagibacteraceae;g__Pelagibacter;s__Pelagibacter sp902591755
GORG_SAMEA6073826_SAGS_AG914M15-prokka	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__SAR86;f__D2472;g__SAR86A;s__SAR86A sp902591925
GORG_SAMEA6073834_SAGS_AG914N11-prokka	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Pelagibacterales;f__Pelagibacteraceae;g__Pelagibacter_A;s__Pelagibacter_A sp902610115
GORG_SAMEA6073873_SAGS_AG914P22-prokka	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Pelagibacterales;f__Pelagibacteraceae;g__Pelagibacter;s__Pelagibacter sp902592445
GORG_SAMEA6073904_SAGS_AG915B23-prokka	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Pelagibacterales;f__Pelagibacteraceae;g__Pelagibacter_A;s__Pelagibacter_A sp902592655
GORG_SAMEA6073907_SAGS_AG915C06-prokka	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__AEGEAN-169;f__GCA-002718135;g__AG-337-I02;s__AG-337-I02 sp902593125
GORG_SAMEA6073922_SAGS_AG915D08-prokka	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Pelagibacterales;f__Pelagibacteraceae;g__Pelagibacter;s__Pelagibacter sp902633965
GORG_SAMEA6073939_SAGS_AG915E09-prokka	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Puniceispirillales;f__AAA536-G10;g__AAA536-G10;s__AAA536-G10 sp902593735
GORG_SAMEA6073971_SAGS_AG915G13-prokka	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Pelagibacterales;f__Pelagibacteraceae;g__Pelagibacter;s__Pelagibacter sp902594675
GORG_SAMEA6074009_SAGS_AG915K06-prokka	d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__PCC-6307;f__Cyanobiaceae;g__Prochlorococcus_A;s__Prochlorococcus_A sp902594875
GORG_SAMEA6074017_SAGS_AG915K17-prokka	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Pelagibacterales;f__Pelagibacteraceae;g__Pelagibacter;s__Pelagibacter sp902635685
GORG_SAMEA6074039_SAGS_AG915M14-prokka	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Puniceispirillales;f__AAA536-G10;g__AAA536-G10;s__AAA536-G10 sp902595515
GORG_SAMEA6074065_SAGS_AG915O07-prokka	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__TMED127;f__TMED127;g__TMED13;s__TMED13 sp902595755
GORG_SAMEA6074097_SAGS_AG916A14-prokka	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Pelagibacterales;f__Pelagibacteraceae;g__Pelagibacter;s__Pelagibacter sp902526645
GORG_SAMEA6074099_SAGS_AG916A16-prokka	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Pelagibacterales;f__Pelagibacteraceae;g__Pelagibacter;s__Pelagibacter sp902596515
GORG_SAMEA6074102_SAGS_AG916A19-prokka	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__TMED96;s__TMED96 sp902635965
GORG_SAMEA6074123_SAGS_AG916C10-prokka	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__CACIJG01;s__CACIJG01 sp902596605
GORG_SAMEA6074140_SAGS_AG916D16-prokka	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Pelagibacterales;f__Pelagibacteraceae;g__MED727;s__MED727 sp902596745
GORG_SAMEA6074156_SAGS_AG916E17-prokka	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Pelagibacterales;f__Pelagibacteraceae;g__Pelagibacter_A;s__Pelagibacter_A sp902597175
GORG_SAMEA6074158_SAGS_AG916E19-prokka	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Pelagibacterales;f__Pelagibacteraceae;g__Pelagibacter;s__Pelagibacter sp902596975
GORG_SAMEA6074185_SAGS_AG916G19-prokka	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Pelagibacterales;f__Pelagibacteraceae;g__Pelagibacter;s__Pelagibacter sp003281725
GORG_SAMEA6074186_SAGS_AG916G20-prokka	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__MED-G14;s__MED-G14 sp902597545
GORG_SAMEA6074198_SAGS_AG916I17-prokka	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Pelagibacterales;f__Pelagibacteraceae;g__Pelagibacter;s__Pelagibacter sp902597895
GORG_SAMEA6074200_SAGS_AG916I19-prokka	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__AEGEAN-169;f__GCA-002718135;g__AG-337-I02;s__AG-337-I02 sp902602515
GORG_SAMEA6074207_SAGS_AG916J11-prokka	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Pelagibacterales;f__Pelagibacteraceae;g__Pelagibacter;s__Pelagibacter sp902560565
GORG_SAMEA6074235_SAGS_AG916L09-prokka	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Pelagibacterales;f__Pelagibacteraceae;g__Pelagibacter_A;s__Pelagibacter_A sp902598735
GORG_SAMEA6074253_SAGS_AG916M14-prokka	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__AEGEAN-169;f__AEGEAN-169;g__AEGEAN-169;s__AEGEAN-169 sp902615815
GORG_SAMEA6074268_SAGS_AG916N14-prokka	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Pelagibacterales;f__Pelagibacteraceae;g__Pelagibacter;s__Pelagibacter sp902599335
GORG_SAMEA6074269_SAGS_AG916N15-prokka	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__AEGEAN-169;f__AEGEAN-169;g__AEGEAN-169;s__AEGEAN-169 sp902599405
GORG_SAMEA6074277_SAGS_AG916O06-prokka	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Pelagibacterales;f__Pelagibacteraceae;g__MED727;s__MED727 sp902599495
GORG_SAMEA6074282_SAGS_AG916O13-prokka	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Pelagibacterales;f__Pelagibacteraceae;g__Pelagibacter;s__Pelagibacter sp902599625
GORG_SAMEA6074285_SAGS_AG916O20-prokka	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Pelagibacterales;f__Pelagibacteraceae;g__Pelagibacter;s__Pelagibacter sp902599665
GORG_SAMEA6074286_SAGS_AG916O22-prokka	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Pelagibacterales;f__Pelagibacteraceae;g__GCA-2704625;s__GCA-2704625 sp902599805
GORG_SAMEA6074321_SAGS_AG917B07-prokka	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Pelagibacterales;f__Pelagibacteraceae;g__Pelagibacter;s__Pelagibacter sp902600485
GORG_SAMEA6074323_SAGS_AG917B09-prokka	d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__PCC-6307;f__Cyanobiaceae;g__Prochlorococcus_A;s__Prochlorococcus_A sp902600475
GORG_SAMEA6074332_SAGS_AG917C02-prokka	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__SAR86;f__D2472;g__MED-G82;s__MED-G82 sp902600705
GORG_SAMEA6074347_SAGS_AG917D03-prokka	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Pelagibacterales;f__Pelagibacteraceae;g__Pelagibacter;s__Pelagibacter sp902618565
GORG_SAMEA6074353_SAGS_AG917D14-prokka	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Pelagibacterales;f__Pelagibacteraceae;g__Pelagibacter;s__Pelagibacter sp902616245
GORG_SAMEA6074360_SAGS_AG917D23-prokka	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Pelagibacterales;f__Pelagibacteraceae;g__Pelagibacter;s__
GORG_SAMEA6074363_SAGS_AG917E05-prokka	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Pelagibacterales;f__Pelagibacteraceae;g__Pelagibacter;s__Pelagibacter sp902601315
GORG_SAMEA6074367_SAGS_AG917E14-prokka	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Pelagibacterales;f__Pelagibacteraceae;g__Pelagibacter_A;s__
